MONTH,BOROUGH,COMMUNITYDISTRICT,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID
2026 / 04,Bronx,1,209.6,125,18.7,2
2026 / 04,Bronx,2,242.8,224.6,16.4,2
2026 / 04,Bronx,3,147,154.5,19.2,2
2026 / 04,Bronx,4,225.9,272.8,16.2,2
2026 / 04,Bronx,5,217.9,288.1,14.2,2
2026 / 04,Bronx,6,190.8,192.9,16.2,2
2026 / 04,Bronx,7,283.4,410.7,45.1,2
2026 / 04,Bronx,8,289.9,334.6,136.5,2
2026 / 04,Bronx,9,229.4,387.6,102.9,2
2026 / 04,Bronx,10,262.7,335,157,2
2026 / 04,Bronx,11,277.1,311.5,133.9,2
2026 / 04,Bronx,12,306.6,568.2,264.6,2
2026 / 04,Brooklyn,1,762.8,459.9,99.9,3
2026 / 04,Brooklyn,2,572.2,395.4,162.5,3
2026 / 04,Brooklyn,3,452.7,330.2,146.1,3
2026 / 04,Brooklyn,4,331.2,344.2,83.7,3
2026 / 04,Brooklyn,5,243.7,494.7,143.3,3
2026 / 04,Brooklyn,6,508.8,356.7,132.9,3
2026 / 04,Brooklyn,7,369,346.4,106.4,3
2026 / 04,Brooklyn,8,304.7,281.3,96.9,3
2026 / 04,Brooklyn,9,279,252.3,66.8,3
2026 / 04,Brooklyn,10,403.7,422.7,92.5,3
2026 / 04,Brooklyn,11,519.6,524.7,329.5,3
2026 / 04,Brooklyn,12,778.3,396.2,76.7,3
2026 / 04,Brooklyn,13,252.8,218.1,73.2,3
2026 / 04,Brooklyn,14,465.6,415.9,132.1,3
2026 / 04,Brooklyn,15,488.6,520.7,178,3
2026 / 04,Brooklyn,16,112.6,174.2,43.2,3
2026 / 04,Brooklyn,17,296.1,430.2,148.6,3
2026 / 04,Brooklyn,18,514.1,626.6,125.5,3
2026 / 04,Manhattan,1,326.3,227,21.7,1
2026 / 04,Manhattan,2,397.7,280.3,58.2,1
2026 / 04,Manhattan,3,425.9,326.6,53,1
2026 / 04,Manhattan,4,621.7,342.2,62.1,1
2026 / 04,Manhattan,5,251.4,154.3,23.2,1
2026 / 04,Manhattan,6,670.3,372.8,70,1
2026 / 04,Manhattan,7,882.5,656.4,253.1,1
2026 / 04,Manhattan,8,955.2,693.7,154.3,1
2026 / 04,Manhattan,9,236,213.9,54.9,1
2026 / 04,Manhattan,10,271.7,272.4,48.3,1
2026 / 04,Manhattan,11,225.5,173.5,33,1
2026 / 04,Manhattan,12,427.6,462.3,84.7,1
2026 / 04,Queens,1,599.7,608.9,214.3,4
2026 / 04,Queens,2,563.7,432.2,194.7,4
2026 / 04,Queens,3,334.7,544.4,183.4,4
2026 / 04,Queens,4,350.5,535.5,150.8,4
2026 / 04,Queens,5,588.5,675.4,265.5,4
2026 / 04,Queens,6,364.6,372.1,189.8,4
2026 / 04,Queens,7,893.6,772.3,207.8,4
2026 / 04,Queens,8,406.2,407.2,167.1,4
2026 / 04,Queens,9,427.3,536.4,186.4,4
2026 / 04,Queens,10,341.5,537.7,139.5,4
2026 / 04,Queens,11,394.9,443,327,4
2026 / 04,Queens,12,484.9,968.2,429.8,4
2026 / 04,Queens,13,442.9,846.7,196.9,4
2026 / 04,Queens,14,282.5,256.1,105.5,4
2026 / 04,Staten Island,1,607.9,702.4,187.6,5
2026 / 04,Staten Island,2,494.8,544.7,374.6,5
2026 / 04,Staten Island,3,677.3,712.9,422.5,5
2026 / 03,Bronx,1,295.6,173.3,22.1,2
2026 / 03,Bronx,2,229.1,253.3,11,2
2026 / 03,Bronx,3,177.3,170.8,16.9,2
2026 / 03,Bronx,4,310.2,347.7,15,2
2026 / 03,Bronx,5,289.7,359.6,13.5,2
2026 / 03,Bronx,6,249.4,218.1,14.1,2
2026 / 03,Bronx,7,355.4,484.9,39.6,2
2026 / 03,Bronx,8,365.9,404.5,121.9,2
2026 / 03,Bronx,9,288.2,440.1,81.8,2
2026 / 03,Bronx,10,329.3,399.7,130.6,2
2026 / 03,Bronx,11,339.9,366.7,113.6,2
2026 / 03,Bronx,12,421,637.4,225.2,2
2026 / 03,Brooklyn,1,897.7,508,106.1,3
2026 / 03,Brooklyn,2,669,448.5,154.6,3
2026 / 03,Brooklyn,3,561.8,414,150.4,3
2026 / 03,Brooklyn,4,403.1,407.5,81.6,3
2026 / 03,Brooklyn,5,319,550.2,113.9,3
2026 / 03,Brooklyn,6,611.2,439.2,145.3,3
2026 / 03,Brooklyn,7,459.8,416.7,127.1,3
2026 / 03,Brooklyn,8,405.8,338.6,105.8,3
2026 / 03,Brooklyn,9,348.4,292.3,61.7,3
2026 / 03,Brooklyn,10,499.8,514.7,105.2,3
2026 / 03,Brooklyn,11,646.3,636.8,320.6,3
2026 / 03,Brooklyn,12,1051.7,459.1,71.9,3
2026 / 03,Brooklyn,13,310.6,272.8,73.3,3
2026 / 03,Brooklyn,14,638.5,516.2,117.3,3
2026 / 03,Brooklyn,15,650.1,634.2,159.8,3
2026 / 03,Brooklyn,16,135.9,180.4,35.6,3
2026 / 03,Brooklyn,17,365.4,520.2,132,3
2026 / 03,Brooklyn,18,667.9,708.4,134.9,3
2026 / 03,Manhattan,1,372.5,261,21.4,1
2026 / 03,Manhattan,2,463.4,325.4,55.9,1
2026 / 03,Manhattan,3,434.8,339.1,43.3,1
2026 / 03,Manhattan,4,651.3,363.6,56.5,1
2026 / 03,Manhattan,5,279.2,180.5,24.3,1
2026 / 03,Manhattan,6,716.7,405.6,59.9,1
2026 / 03,Manhattan,7,1023.1,781.8,236.8,1
2026 / 03,Manhattan,8,1090.6,818.7,151.2,1
2026 / 03,Manhattan,9,253.5,239,47.7,1
2026 / 03,Manhattan,10,313.2,282.6,49.5,1
2026 / 03,Manhattan,11,230,199.5,22.4,1
2026 / 03,Manhattan,12,459.7,511.6,69.2,1
2026 / 03,Queens,1,760.5,746.7,195.7,4
2026 / 03,Queens,2,677.4,537.2,184.7,4
2026 / 03,Queens,3,387.5,626.1,157.7,4
2026 / 03,Queens,4,414.2,594.9,136.2,4
2026 / 03,Queens,5,687.3,798.2,220.2,4
2026 / 03,Queens,6,435.7,438.1,162.4,4
2026 / 03,Queens,7,1074.4,910.4,192.8,4
2026 / 03,Queens,8,513.8,475.7,164.2,4
2026 / 03,Queens,9,530.9,630.6,162.3,4
2026 / 03,Queens,10,394.1,640.6,144.5,4
2026 / 03,Queens,11,503.1,508.2,280.2,4
2026 / 03,Queens,12,591,1084.7,319.6,4
2026 / 03,Queens,13,526.3,972.1,174.4,4
2026 / 03,Queens,14,335.2,279.4,85,4
2026 / 03,Staten Island,1,776.2,818.8,210.9,5
2026 / 03,Staten Island,2,613.1,605.7,326.1,5
2026 / 03,Staten Island,3,773.1,780,354.3,5
2026 / 02,Bronx,1,200.3,109.8,16.2,2
2026 / 02,Bronx,2,224.2,154.8,13.4,2
2026 / 02,Bronx,3,107.5,116.1,12.8,2
2026 / 02,Bronx,4,199.9,226.5,10.9,2
2026 / 02,Bronx,5,184.3,246.1,12.1,2
2026 / 02,Bronx,6,147.4,137.5,9.5,2
2026 / 02,Bronx,7,238.8,328,25.2,2
2026 / 02,Bronx,8,241.6,296.2,81.4,2
2026 / 02,Bronx,9,171.9,285.7,61,2
2026 / 02,Bronx,10,221.2,257.3,77.1,2
2026 / 02,Bronx,11,228.1,252.1,70.2,2
2026 / 02,Bronx,12,264.2,410,131.3,2
2026 / 02,Brooklyn,1,636.8,374.6,70.2,3
2026 / 02,Brooklyn,2,493.7,370,103.5,3
2026 / 02,Brooklyn,3,358.4,262.8,78.3,3
2026 / 02,Brooklyn,4,276.8,281.7,58.9,3
2026 / 02,Brooklyn,5,189.6,345,64.8,3
2026 / 02,Brooklyn,6,423.8,315.9,119.5,3
2026 / 02,Brooklyn,7,311.2,294.1,90.2,3
2026 / 02,Brooklyn,8,263.3,223.9,57.6,3
2026 / 02,Brooklyn,9,226.8,195.4,39.8,3
2026 / 02,Brooklyn,10,340.8,343,68.3,3
2026 / 02,Brooklyn,11,425.6,446.6,254.7,3
2026 / 02,Brooklyn,12,586.4,270,54.7,3
2026 / 02,Brooklyn,13,220.4,183,46.9,3
2026 / 02,Brooklyn,14,380.6,319.6,77.1,3
2026 / 02,Brooklyn,15,402.9,409.6,124.9,3
2026 / 02,Brooklyn,16,92.8,121.8,28.6,3
2026 / 02,Brooklyn,17,224.9,312.8,74.5,3
2026 / 02,Brooklyn,18,393.9,463.9,108.8,3
2026 / 02,Manhattan,1,332.7,218.6,19,1
2026 / 02,Manhattan,2,354.1,238.6,35.9,1
2026 / 02,Manhattan,3,410.8,281.7,33.4,1
2026 / 02,Manhattan,4,578,305.2,50.1,1
2026 / 02,Manhattan,5,219.9,149.3,17.9,1
2026 / 02,Manhattan,6,602.5,324.5,50,1
2026 / 02,Manhattan,7,844.9,608.7,205.3,1
2026 / 02,Manhattan,8,880.7,637.3,126,1
2026 / 02,Manhattan,9,236.3,186.6,41.9,1
2026 / 02,Manhattan,10,225.9,204.8,30.8,1
2026 / 02,Manhattan,11,193.8,144.8,18.8,1
2026 / 02,Manhattan,12,376.3,371.1,60.3,1
2026 / 02,Queens,1,505.3,526.8,138.6,4
2026 / 02,Queens,2,516.6,380.5,133.9,4
2026 / 02,Queens,3,259.2,417,109.9,4
2026 / 02,Queens,4,301,404.4,100.6,4
2026 / 02,Queens,5,446.9,534.2,172.6,4
2026 / 02,Queens,6,303.6,300.3,100.4,4
2026 / 02,Queens,7,755.6,613.9,157.6,4
2026 / 02,Queens,8,340.7,328.5,109.2,4
2026 / 02,Queens,9,332.8,397.2,159.3,4
2026 / 02,Queens,10,253.5,412,85.6,4
2026 / 02,Queens,11,324.9,323.1,160.4,4
2026 / 02,Queens,12,363.2,715.2,188.1,4
2026 / 02,Queens,13,308.9,585.9,143.2,4
2026 / 02,Queens,14,208.1,173.8,57,4
2026 / 02,Staten Island,1,482.4,501.6,98.8,5
2026 / 02,Staten Island,2,400.1,400.4,142,5
2026 / 02,Staten Island,3,505.2,495.6,142.2,5
2026 / 01,Bronx,1,199.6,100.4,22.4,2
2026 / 01,Bronx,2,200.5,216.8,16.2,2
2026 / 01,Bronx,3,95,102.3,14.7,2
2026 / 01,Bronx,4,184.3,223,16.3,2
2026 / 01,Bronx,5,179.6,236.9,14.4,2
2026 / 01,Bronx,6,146.8,126,10.9,2
2026 / 01,Bronx,7,238,339.7,38.4,2
2026 / 01,Bronx,8,230.8,269.2,119.9,2
2026 / 01,Bronx,9,195.8,312.8,89.5,2
2026 / 01,Bronx,10,235.5,279.3,113.3,2
2026 / 01,Bronx,11,230.6,255.1,98.3,2
2026 / 01,Bronx,12,256.2,438.4,175.5,2
2026 / 01,Brooklyn,1,644.6,369.3,119,3
2026 / 01,Brooklyn,2,476.4,319,175.4,3
2026 / 01,Brooklyn,3,347.1,260.9,124.6,3
2026 / 01,Brooklyn,4,300.8,286.9,80.8,3
2026 / 01,Brooklyn,5,184.3,343.4,130.8,3
2026 / 01,Brooklyn,6,443.3,311.5,145.8,3
2026 / 01,Brooklyn,7,306.5,279.8,113.7,3
2026 / 01,Brooklyn,8,246.3,211.2,84.9,3
2026 / 01,Brooklyn,9,250.1,208.7,58.3,3
2026 / 01,Brooklyn,10,339.2,341.7,104.5,3
2026 / 01,Brooklyn,11,438.6,458.6,305.2,3
2026 / 01,Brooklyn,12,565.3,272.6,75.6,3
2026 / 01,Brooklyn,13,218.7,189,69.2,3
2026 / 01,Brooklyn,14,377.1,325.3,103.1,3
2026 / 01,Brooklyn,15,393.2,392.1,154.9,3
2026 / 01,Brooklyn,16,113.3,133.4,44.4,3
2026 / 01,Brooklyn,17,261.5,360.2,95.8,3
2026 / 01,Brooklyn,18,425.8,504.9,104.7,3
2026 / 01,Manhattan,1,312.2,212.3,50.7,1
2026 / 01,Manhattan,2,303.7,202.8,77.3,1
2026 / 01,Manhattan,3,368.8,281,60,1
2026 / 01,Manhattan,4,573.9,296.9,87.3,1
2026 / 01,Manhattan,5,194.6,124.4,34.8,1
2026 / 01,Manhattan,6,622.5,317.5,96.4,1
2026 / 01,Manhattan,7,771.3,561.2,304,1
2026 / 01,Manhattan,8,812.3,595.6,230.2,1
2026 / 01,Manhattan,9,221.9,194.2,66.6,1
2026 / 01,Manhattan,10,225.9,205.3,56,1
2026 / 01,Manhattan,11,170.2,138,36.2,1
2026 / 01,Manhattan,12,364,385.6,79,1
2026 / 01,Queens,1,510.5,507.4,201.4,4
2026 / 01,Queens,2,473.6,352.5,190.2,4
2026 / 01,Queens,3,299.3,444.9,170.7,4
2026 / 01,Queens,4,318,430.6,138.3,4
2026 / 01,Queens,5,497.3,546.6,242.5,4
2026 / 01,Queens,6,312.3,302.6,148.9,4
2026 / 01,Queens,7,824.3,620.9,176,4
2026 / 01,Queens,8,341.1,301.6,155.1,4
2026 / 01,Queens,9,352.1,400,200.4,4
2026 / 01,Queens,10,286.6,402.7,119.2,4
2026 / 01,Queens,11,344.6,340.3,222.7,4
2026 / 01,Queens,12,406.1,731.1,256.9,4
2026 / 01,Queens,13,378.4,648.4,168.9,4
2026 / 01,Queens,14,252.2,200.1,90.7,4
2026 / 01,Staten Island,1,556.3,552.4,180.1,5
2026 / 01,Staten Island,2,421.2,406.7,217.9,5
2026 / 01,Staten Island,3,574.1,553.2,239.8,5
2025 / 12,Bronx,1,277.7,157.9,38.1,2
2025 / 12,Bronx,2,240.1,216.3,18.8,2
2025 / 12,Bronx,3,178.2,171.9,20,2
2025 / 12,Bronx,4,303.8,321.4,18.9,2
2025 / 12,Bronx,5,272.4,331.8,14.7,2
2025 / 12,Bronx,6,234.4,210.4,18.4,2
2025 / 12,Bronx,7,357.4,454.1,48.5,2
2025 / 12,Bronx,8,375.1,402.3,152,2
2025 / 12,Bronx,9,277.7,390.4,107.6,2
2025 / 12,Bronx,10,339.5,365.6,139.1,2
2025 / 12,Bronx,11,338.7,333.7,134.8,2
2025 / 12,Bronx,12,385,602.2,259.6,2
2025 / 12,Brooklyn,1,827.8,435.1,105.2,3
2025 / 12,Brooklyn,2,674.3,415.8,208.2,3
2025 / 12,Brooklyn,3,523.1,369.1,205.8,3
2025 / 12,Brooklyn,4,406.3,371.8,90.3,3
2025 / 12,Brooklyn,5,321.8,529.9,162.1,3
2025 / 12,Brooklyn,6,618.8,393.2,175.9,3
2025 / 12,Brooklyn,7,445.2,384.2,166.3,3
2025 / 12,Brooklyn,8,388.9,295.8,106.4,3
2025 / 12,Brooklyn,9,329.9,260.2,69.4,3
2025 / 12,Brooklyn,10,533,485.7,148.5,3
2025 / 12,Brooklyn,11,651.6,582.6,370.7,3
2025 / 12,Brooklyn,12,828.7,347.6,100.3,3
2025 / 12,Brooklyn,13,305.7,237.5,81.9,3
2025 / 12,Brooklyn,14,560.2,449.6,159.7,3
2025 / 12,Brooklyn,15,620.3,548.3,204.4,3
2025 / 12,Brooklyn,16,135.5,179.7,54.3,3
2025 / 12,Brooklyn,17,364.8,470.8,162,3
2025 / 12,Brooklyn,18,635.6,653.4,193.2,3
2025 / 12,Manhattan,1,401.2,237.1,25,1
2025 / 12,Manhattan,2,475,298.9,63.6,1
2025 / 12,Manhattan,3,438,317.1,63.9,1
2025 / 12,Manhattan,4,697.2,326.9,66.3,1
2025 / 12,Manhattan,5,304.1,172.5,23.5,1
2025 / 12,Manhattan,6,789.3,364.6,63,1
2025 / 12,Manhattan,7,1087.3,728.3,280.3,1
2025 / 12,Manhattan,8,1186.4,752.8,170.6,1
2025 / 12,Manhattan,9,267.1,227.1,55.1,1
2025 / 12,Manhattan,10,321.5,261.3,55.9,1
2025 / 12,Manhattan,11,264,183.5,39.4,1
2025 / 12,Manhattan,12,499.2,508.9,87.9,1
2025 / 12,Queens,1,767.7,692.2,266.8,4
2025 / 12,Queens,2,705.9,476.2,212.5,4
2025 / 12,Queens,3,411.1,561.3,195.9,4
2025 / 12,Queens,4,426.4,521.2,159.6,4
2025 / 12,Queens,5,748.5,720.7,317.4,4
2025 / 12,Queens,6,462.3,390.7,205.4,4
2025 / 12,Queens,7,1074.4,823.6,265.4,4
2025 / 12,Queens,8,489.1,407.7,249,4
2025 / 12,Queens,9,530.7,550.1,268.6,4
2025 / 12,Queens,10,419.3,569.6,168,4
2025 / 12,Queens,11,503.4,452.1,379.8,4
2025 / 12,Queens,12,582.6,984.1,413.5,4
2025 / 12,Queens,13,529.9,872,244.5,4
2025 / 12,Queens,14,323.9,250.8,98.7,4
2025 / 12,Staten Island,1,759.8,715.4,284.7,5
2025 / 12,Staten Island,2,617.4,552.3,359,5
2025 / 12,Staten Island,3,863.6,735.3,428.7,5
2025 / 11,Bronx,1,223.8,121.4,34.9,2
2025 / 11,Bronx,2,200.1,169.5,19.4,2
2025 / 11,Bronx,3,127.6,129.6,29.7,2
2025 / 11,Bronx,4,229.7,271.9,21.8,2
2025 / 11,Bronx,5,208.3,287.8,19.5,2
2025 / 11,Bronx,6,173.9,153.3,14.3,2
2025 / 11,Bronx,7,251,366.7,48.7,2
2025 / 11,Bronx,8,283.7,304.2,178.5,2
2025 / 11,Bronx,9,210.2,328.9,150.4,2
2025 / 11,Bronx,10,256.2,307.1,205.2,2
2025 / 11,Bronx,11,263.5,279.6,217.4,2
2025 / 11,Bronx,12,291.7,481,372.4,2
2025 / 11,Brooklyn,1,674.6,373.2,128.7,3
2025 / 11,Brooklyn,2,555.5,360.4,208.4,3
2025 / 11,Brooklyn,3,403.2,288.8,192.6,3
2025 / 11,Brooklyn,4,324,321.7,93.7,3
2025 / 11,Brooklyn,5,215.7,402.8,150.7,3
2025 / 11,Brooklyn,6,491.9,336.7,189.6,3
2025 / 11,Brooklyn,7,352.1,322,144.8,3
2025 / 11,Brooklyn,8,299.3,243.4,98.4,3
2025 / 11,Brooklyn,9,273.8,229.9,86.3,3
2025 / 11,Brooklyn,10,393.2,383.7,179.9,3
2025 / 11,Brooklyn,11,516,496.9,421.9,3
2025 / 11,Brooklyn,12,666.7,302.3,129,3
2025 / 11,Brooklyn,13,244.4,203.8,100.4,3
2025 / 11,Brooklyn,14,448.3,388.6,223.4,3
2025 / 11,Brooklyn,15,487.9,470.3,297.6,3
2025 / 11,Brooklyn,16,109.6,154.1,78.5,3
2025 / 11,Brooklyn,17,283.2,378.6,212.3,3
2025 / 11,Brooklyn,18,516.9,564.2,335.2,3
2025 / 11,Manhattan,1,333.6,205.5,23.9,1
2025 / 11,Manhattan,2,400.2,259.7,60.1,1
2025 / 11,Manhattan,3,391.4,305.1,72.1,1
2025 / 11,Manhattan,4,587.4,303.4,65.5,1
2025 / 11,Manhattan,5,231.1,141.2,21.6,1
2025 / 11,Manhattan,6,656.3,330.7,66.9,1
2025 / 11,Manhattan,7,901.3,635.5,265.1,1
2025 / 11,Manhattan,8,994.5,685.2,173.6,1
2025 / 11,Manhattan,9,239.2,203.5,63.6,1
2025 / 11,Manhattan,10,252.4,209.7,52,1
2025 / 11,Manhattan,11,204.9,155.3,40.7,1
2025 / 11,Manhattan,12,377.1,390.3,91.8,1
2025 / 11,Queens,1,593.2,566.3,296.8,4
2025 / 11,Queens,2,533.2,384.5,221.9,4
2025 / 11,Queens,3,308.2,458.6,231.5,4
2025 / 11,Queens,4,303.5,462.2,168.8,4
2025 / 11,Queens,5,558.3,595.3,443.8,4
2025 / 11,Queens,6,340.6,321,305.5,4
2025 / 11,Queens,7,905.5,701.1,431.3,4
2025 / 11,Queens,8,385.6,350.9,320.6,4
2025 / 11,Queens,9,396.7,462.5,386.2,4
2025 / 11,Queens,10,308.9,462.2,225.3,4
2025 / 11,Queens,11,383.9,387.4,612.4,4
2025 / 11,Queens,12,436.9,804.7,615.2,4
2025 / 11,Queens,13,415.1,712.9,345.4,4
2025 / 11,Queens,14,267.1,215,111.6,4
2025 / 11,Staten Island,1,588.1,599.2,407.6,5
2025 / 11,Staten Island,2,452.5,466.8,520.5,5
2025 / 11,Staten Island,3,617.2,608,656.9,5
2025 / 10,Bronx,1,235,124.8,16.7,2
2025 / 10,Bronx,2,231.6,213.8,20.4,2
2025 / 10,Bronx,3,140.1,147.5,19.1,2
2025 / 10,Bronx,4,233.3,291.1,20.8,2
2025 / 10,Bronx,5,216.6,299.9,17.1,2
2025 / 10,Bronx,6,197,177,16.2,2
2025 / 10,Bronx,7,289.8,423.2,53.6,2
2025 / 10,Bronx,8,300.7,335.8,136.9,2
2025 / 10,Bronx,9,229.3,365.8,112.1,2
2025 / 10,Bronx,10,286.2,335.7,158.4,2
2025 / 10,Bronx,11,282.5,308.7,154.2,2
2025 / 10,Bronx,12,322.3,533.5,277.5,2
2025 / 10,Brooklyn,1,761.1,456.7,104.2,3
2025 / 10,Brooklyn,2,596.2,392.7,159,3
2025 / 10,Brooklyn,3,465.1,338,144.6,3
2025 / 10,Brooklyn,4,362.4,362.2,93.9,3
2025 / 10,Brooklyn,5,249,479.2,159.5,3
2025 / 10,Brooklyn,6,549.8,376.8,166.9,3
2025 / 10,Brooklyn,7,389.4,347.6,123.5,3
2025 / 10,Brooklyn,8,325.4,275.7,92.1,3
2025 / 10,Brooklyn,9,294.6,274.7,89.1,3
2025 / 10,Brooklyn,10,421.1,420.9,161,3
2025 / 10,Brooklyn,11,572.1,545.3,407.4,3
2025 / 10,Brooklyn,12,704.7,381,101.1,3
2025 / 10,Brooklyn,13,271,233.7,80.2,3
2025 / 10,Brooklyn,14,455.1,412.1,138,3
2025 / 10,Brooklyn,15,514.7,513.9,225.1,3
2025 / 10,Brooklyn,16,118.8,164.4,53.6,3
2025 / 10,Brooklyn,17,315,430.4,158,3
2025 / 10,Brooklyn,18,528.8,613.1,199.3,3
2025 / 10,Manhattan,1,400.9,255.8,30.5,1
2025 / 10,Manhattan,2,437.3,281.6,57.3,1
2025 / 10,Manhattan,3,482.5,358.3,61.5,1
2025 / 10,Manhattan,4,709.8,355.4,74.2,1
2025 / 10,Manhattan,5,289.7,166.2,24.3,1
2025 / 10,Manhattan,6,791.9,393.6,75.5,1
2025 / 10,Manhattan,7,989.1,674.4,267.1,1
2025 / 10,Manhattan,8,1106.2,743,178.8,1
2025 / 10,Manhattan,9,269.5,238.1,64.6,1
2025 / 10,Manhattan,10,293.7,275.2,49.6,1
2025 / 10,Manhattan,11,228.5,172.9,28,1
2025 / 10,Manhattan,12,450.8,472.8,87.7,1
2025 / 10,Queens,1,643.2,617.2,247.9,4
2025 / 10,Queens,2,580,429.9,211.7,4
2025 / 10,Queens,3,358.5,536.2,220,4
2025 / 10,Queens,4,347.5,529,176.4,4
2025 / 10,Queens,5,613,666.3,364.9,4
2025 / 10,Queens,6,377.7,363.9,210,4
2025 / 10,Queens,7,979.4,765.8,307.5,4
2025 / 10,Queens,8,427.6,399.1,218.8,4
2025 / 10,Queens,9,433.9,510.7,304.9,4
2025 / 10,Queens,10,344.9,521,184.2,4
2025 / 10,Queens,11,419.4,418.2,377.9,4
2025 / 10,Queens,12,484.4,915.6,461.1,4
2025 / 10,Queens,13,463.8,804.2,244.4,4
2025 / 10,Queens,14,278,247.1,110.3,4
2025 / 10,Staten Island,1,611.4,657.8,284.1,5
2025 / 10,Staten Island,2,498.9,523.7,402,5
2025 / 10,Staten Island,3,681.9,657.6,468.2,5
2025 / 09,Bronx,1,264.8,141.4,16.4,2
2025 / 09,Bronx,2,224.7,210.8,12.4,2
2025 / 09,Bronx,3,133.2,142.1,13.9,2
2025 / 09,Bronx,4,249.8,307.2,17.5,2
2025 / 09,Bronx,5,232.4,312.8,16.5,2
2025 / 09,Bronx,6,209.7,180,13.1,2
2025 / 09,Bronx,7,268.7,408.5,50.3,2
2025 / 09,Bronx,8,316.6,346,132.3,2
2025 / 09,Bronx,9,225.5,360.2,97.6,2
2025 / 09,Bronx,10,260.8,329.8,144.5,2
2025 / 09,Bronx,11,273.1,304,137.4,2
2025 / 09,Bronx,12,317.3,537.1,267.8,2
2025 / 09,Brooklyn,1,760.8,425.4,87.8,3
2025 / 09,Brooklyn,2,595,363.8,130.8,3
2025 / 09,Brooklyn,3,463.9,335.4,128.5,3
2025 / 09,Brooklyn,4,372.5,340.1,84.8,3
2025 / 09,Brooklyn,5,232,466.4,132,3
2025 / 09,Brooklyn,6,528.9,345.6,73.4,3
2025 / 09,Brooklyn,7,390.2,341.9,115.9,3
2025 / 09,Brooklyn,8,336.2,285.5,88.3,3
2025 / 09,Brooklyn,9,271.6,244.5,59.5,3
2025 / 09,Brooklyn,10,416.4,422.4,144,3
2025 / 09,Brooklyn,11,536.2,540.3,403,3
2025 / 09,Brooklyn,12,803.2,342.2,88,3
2025 / 09,Brooklyn,13,279.5,226.1,79.4,3
2025 / 09,Brooklyn,14,498.8,432.5,126.1,3
2025 / 09,Brooklyn,15,514.8,514.5,193.7,3
2025 / 09,Brooklyn,16,103.5,150.7,39.1,3
2025 / 09,Brooklyn,17,292.9,441.2,149.6,3
2025 / 09,Brooklyn,18,532.2,617.8,154.9,3
2025 / 09,Manhattan,1,356.2,216.9,22.2,1
2025 / 09,Manhattan,2,435.4,266.5,53.8,1
2025 / 09,Manhattan,3,447,308.8,48.2,1
2025 / 09,Manhattan,4,639.3,307.6,62,1
2025 / 09,Manhattan,5,267.3,157.7,23.5,1
2025 / 09,Manhattan,6,716,323.2,63.2,1
2025 / 09,Manhattan,7,963,641.4,245.8,1
2025 / 09,Manhattan,8,1009.1,653.5,149.4,1
2025 / 09,Manhattan,9,273.5,212.3,50.9,1
2025 / 09,Manhattan,10,277.5,242.8,42,1
2025 / 09,Manhattan,11,209,158.5,21.4,1
2025 / 09,Manhattan,12,397.9,432.6,79.8,1
2025 / 09,Queens,1,649.5,613.5,221.3,4
2025 / 09,Queens,2,589.2,412.2,189.4,4
2025 / 09,Queens,3,321.6,499.7,173,4
2025 / 09,Queens,4,320.9,476.6,164.6,4
2025 / 09,Queens,5,581.7,642.3,346.4,4
2025 / 09,Queens,6,358.2,355.9,197.8,4
2025 / 09,Queens,7,935.6,758,288.1,4
2025 / 09,Queens,8,417.6,387.6,202.9,4
2025 / 09,Queens,9,449,502.6,263.3,4
2025 / 09,Queens,10,343,529.5,161.8,4
2025 / 09,Queens,11,417.9,430.6,357.3,4
2025 / 09,Queens,12,477.1,912.2,434,4
2025 / 09,Queens,13,445.5,821.6,235.2,4
2025 / 09,Queens,14,265.5,227.4,102.4,4
2025 / 09,Staten Island,1,614.2,713.6,276,5
2025 / 09,Staten Island,2,484.4,537.6,402.8,5
2025 / 09,Staten Island,3,638.8,662.4,425,5
2025 / 08,Bronx,1,213.4,138.8,17.1,2
2025 / 08,Bronx,2,224.5,205.2,14,2
2025 / 08,Bronx,3,121.1,133.9,12.4,2
2025 / 08,Bronx,4,219.7,300.6,22.4,2
2025 / 08,Bronx,5,208.8,306.9,18.7,2
2025 / 08,Bronx,6,167.5,158.8,12.7,2
2025 / 08,Bronx,7,264.4,412.7,48.6,2
2025 / 08,Bronx,8,277.6,321,126.6,2
2025 / 08,Bronx,9,218.9,376.6,105.9,2
2025 / 08,Bronx,10,271.4,344.9,159.5,2
2025 / 08,Bronx,11,259.4,316.6,156.5,2
2025 / 08,Bronx,12,316.8,549.1,294.2,2
2025 / 08,Brooklyn,1,623.2,423.3,88.8,3
2025 / 08,Brooklyn,2,527.6,367.6,129.5,3
2025 / 08,Brooklyn,3,361.5,323.7,129.1,3
2025 / 08,Brooklyn,4,341.4,370.1,89.2,3
2025 / 08,Brooklyn,5,227.8,444.6,114.8,3
2025 / 08,Brooklyn,6,453.8,330.2,55.1,3
2025 / 08,Brooklyn,7,371,335.5,108,3
2025 / 08,Brooklyn,8,288.5,253.5,79.8,3
2025 / 08,Brooklyn,9,272.2,256,67.2,3
2025 / 08,Brooklyn,10,384.6,408.7,120.4,3
2025 / 08,Brooklyn,11,484,512.7,412.7,3
