MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2024 / 04,Queens,14,Residential,47.8,4
2024 / 03,Queens,1,Residential,74.2,4
2024 / 03,,1,School,20.6,
2024 / 03,Queens,2,Residential,32.5,4
2024 / 03,,2,School,241.3,
2024 / 03,Queens,3,Residential,33.8,4
2024 / 03,Queens,4,Residential,24.1,4
2024 / 03,Queens,5,Residential,58.5,4
2024 / 03,,5,School,130,
2024 / 03,Queens,6,Residential,45.2,4
2024 / 03,Queens,7,Residential,70.4,4
2024 / 03,,7,School,173.6,
2024 / 03,Queens,8,Residential,54.5,4
2024 / 03,,8,School,1.8,
2024 / 03,Queens,9,Residential,78.2,4
2024 / 03,,9,School,131.8,
2024 / 03,Queens,10,Residential,22.1,4
2024 / 03,,10,School,72,
2024 / 03,Queens,11,Residential,68.2,4
2024 / 03,,11,School,71,
2024 / 03,Queens,12,Residential,115.7,4
2024 / 03,,12,School,103.8,
2024 / 03,Queens,13,Residential,53.1,4
2024 / 03,,13,School,50.5,
2024 / 03,Queens,14,Residential,47.8,4
2024 / 02,Queens,1,Residential,55.9,4
2024 / 02,Queens,2,Residential,26.2,4
2024 / 02,,2,School,167.9,
2024 / 02,Queens,3,Residential,26.8,4
2024 / 02,Queens,4,Residential,17.1,4
2024 / 02,Queens,5,Residential,40.3,4
2024 / 02,,5,School,94.3,
2024 / 02,Queens,6,Residential,29.1,4
2024 / 02,Queens,7,Residential,62.3,4
2024 / 02,,7,School,119.3,
2024 / 02,Queens,8,Residential,58.2,4
2024 / 02,,8,School,1.4,
2024 / 02,Queens,9,Residential,71.1,4
2024 / 02,,9,School,93,
2024 / 02,Queens,10,Residential,37.1,4
2024 / 02,,10,School,56.2,
2024 / 02,Queens,11,Residential,56,4
2024 / 02,,11,School,52.6,
2024 / 02,Queens,12,Residential,93.2,4
2024 / 02,,12,School,76.2,
2024 / 02,Queens,13,Residential,73.4,4
2024 / 02,,13,School,43,
2024 / 02,Queens,14,Residential,35.1,4
2024 / 01,Queens,1,Residential,93.9,4
2024 / 01,Queens,2,Residential,49.7,4
2024 / 01,,2,School,226.1,
2024 / 01,Queens,3,Residential,34.3,4
2024 / 01,Queens,4,Residential,23.7,4
2024 / 01,Queens,5,Residential,60.4,4
2024 / 01,,5,School,133.8,
2024 / 01,Queens,6,Residential,50,4
2024 / 01,Queens,7,Residential,86.7,4
2024 / 01,,7,School,122.5,
2024 / 01,Queens,8,Residential,78.7,4
2024 / 01,Queens,9,Residential,105.2,4
2024 / 01,,9,School,127.5,
2024 / 01,Queens,10,Residential,75.6,4
2024 / 01,,10,School,57.2,
2024 / 01,Queens,11,Residential,87.9,4
2024 / 01,,11,School,76.9,
2024 / 01,Queens,12,Residential,132.3,4
2024 / 01,,12,School,80.7,
2024 / 01,Queens,13,Residential,93.3,4
2024 / 01,,13,School,46.5,
2024 / 01,Queens,14,Residential,71.3,4
2023 / 12,Queens,1,Residential,97.6,4
2023 / 12,Queens,2,Residential,42.3,4
2023 / 12,,2,School,178.6,
2023 / 12,Queens,3,Residential,38.9,4
2023 / 12,Queens,4,Residential,27.1,4
2023 / 12,Queens,5,Residential,87.5,4
2023 / 12,,5,School,112.5,
2023 / 12,Queens,6,Residential,93.1,4
2023 / 12,Queens,7,Residential,125.1,4
2023 / 12,Queens,8,Residential,97.2,4
2023 / 12,Queens,9,Residential,121.9,4
2023 / 12,,9,School,107.2,
2023 / 12,Queens,10,Residential,62.8,4
2023 / 12,Queens,11,Residential,160.1,4
2023 / 12,,11,School,73,
2023 / 12,Queens,12,Residential,321.1,4
2023 / 12,Queens,13,Residential,120.7,4
2023 / 12,Queens,14,Residential,51.4,4
2023 / 11,Queens,1,Residential,112.9,4
2023 / 11,Queens,2,Residential,50.3,4
2023 / 11,,2,School,206.3,
2023 / 11,Queens,3,Residential,46.2,4
2023 / 11,Queens,4,Residential,33.8,4
2023 / 11,Queens,5,Residential,151.8,4
2023 / 11,,5,School,119.5,
2023 / 11,Queens,6,Residential,139.9,4
2023 / 11,Queens,7,Residential,190.7,4
2023 / 11,Queens,8,Residential,110.2,4
2023 / 11,Queens,9,Residential,197.5,4
2023 / 11,,9,School,124.4,
2023 / 11,Queens,10,Residential,98.3,4
2023 / 11,Queens,11,Residential,222.6,4
2023 / 11,,11,School,79.9,
2023 / 11,Queens,12,Residential,412.2,4
2023 / 11,Queens,13,Residential,170.6,4
2023 / 11,Queens,14,Residential,67,4
2023 / 10,Queens,1,Residential,88.7,4
2023 / 10,Queens,2,Residential,38.1,4
2023 / 10,,2,School,231,
2023 / 10,Queens,3,Residential,34.4,4
2023 / 10,Queens,4,Residential,25,4
2023 / 10,Queens,5,Residential,101.1,4
2023 / 10,,5,School,133.4,
2023 / 10,Queens,6,Residential,66.3,4
2023 / 10,Queens,7,Residential,124.8,4
