MONTH,BOROUGH,COMMUNITY DISTRICT,RES ORGANICS TONS,SCHOOL ORGANIC TONS,BOROUGH_ID
2025 / 02,Brooklyn,1,33.9,36.2,3
2025 / 02,Brooklyn,2,70.1,36.6,3
2025 / 02,Brooklyn,3,66.7,60,3
2025 / 02,Brooklyn,4,56.1,56.3,3
2025 / 02,Brooklyn,5,23,0,3
2025 / 02,Brooklyn,6,64.6,63.4,3
2025 / 02,Brooklyn,7,50.9,59.4,3
2025 / 02,Brooklyn,8,40,41.1,3
2025 / 02,Brooklyn,9,26.9,0,3
2025 / 02,Brooklyn,10,31.5,102.7,3
2025 / 02,Brooklyn,11,24.9,6.1,3
2025 / 02,Brooklyn,12,23.2,0,3
2025 / 02,Brooklyn,13,8.9,87.1,3
2025 / 02,Brooklyn,14,37.1,0,3
2025 / 02,Brooklyn,15,32.9,119.1,3
2025 / 02,Brooklyn,16,9.2,0,3
2025 / 02,Brooklyn,17,41.3,34.7,3
2025 / 02,Brooklyn,18,51.3,0,3
2025 / 02,Manhattan,1,7.3,0,1
2025 / 02,Manhattan,2,18.3,17.8,1
2025 / 02,Manhattan,3,14.4,37.6,1
2025 / 02,Manhattan,4,38.3,0,1
2025 / 02,Manhattan,5,6,0,1
2025 / 02,Manhattan,6,22.2,0,1
2025 / 02,Manhattan,7,111.2,33.6,1
2025 / 02,Manhattan,8,37.4,0,1
2025 / 02,Manhattan,9,18.6,70.6,1
2025 / 02,Manhattan,10,18,0.4,1
2025 / 02,Manhattan,11,15.4,46.4,1
2025 / 02,Manhattan,12,27.4,40.6,1
2025 / 02,Queens,1,49.5,173.2,4
2025 / 02,Queens,2,32.3,162.7,4
2025 / 02,Queens,3,34,0,4
2025 / 02,Queens,4,18.5,0,4
2025 / 02,Queens,5,44.9,84.8,4
2025 / 02,Queens,6,37.8,0,4
2025 / 02,Queens,7,37.7,116.2,4
2025 / 02,Queens,8,49.5,0,4
2025 / 02,Queens,9,58.2,71.3,4
2025 / 02,Queens,10,26.6,65.2,4
2025 / 02,Queens,11,39.9,68.3,4
2025 / 02,Queens,12,75,66.6,4
2025 / 02,Queens,13,53,51.3,4
2025 / 02,Queens,14,30.2,0,4
2025 / 02,Staten Island,1,96.3,0,5
2025 / 02,Staten Island,2,98.1,27.4,5
2025 / 02,Staten Island,3,121.9,25.7,5
2025 / 01,Bronx,1,9.9,95.6,2
2025 / 01,Bronx,2,6.4,0,2
2025 / 01,Bronx,3,6.2,94.5,2
2025 / 01,Bronx,4,8.6,69.3,2
2025 / 01,Bronx,5,10.2,77.3,2
2025 / 01,Bronx,6,4.8,60,2
2025 / 01,Bronx,7,7.3,44.8,2
2025 / 01,Bronx,8,61.7,0,2
2025 / 01,Bronx,9,28.6,0,2
2025 / 01,Bronx,10,41,62.2,2
2025 / 01,Bronx,11,39,81.5,2
2025 / 01,Bronx,12,67,0,2
2025 / 01,Brooklyn,1,71.5,43.2,3
2025 / 01,Brooklyn,2,132,44.6,3
2025 / 01,Brooklyn,3,118,70.9,3
2025 / 01,Brooklyn,4,55,72.8,3
2025 / 01,Brooklyn,5,40.8,0,3
2025 / 01,Brooklyn,6,97.2,77.2,3
2025 / 01,Brooklyn,7,65.9,79.5,3
2025 / 01,Brooklyn,8,66.2,53,3
2025 / 01,Brooklyn,9,40.4,0,3
2025 / 01,Brooklyn,10,46.3,131.5,3
2025 / 01,Brooklyn,11,42.5,0,3
2025 / 01,Brooklyn,12,31.5,0,3
2025 / 01,Brooklyn,13,16.1,108.3,3
2025 / 01,Brooklyn,14,64.9,0,3
2025 / 01,Brooklyn,15,47.7,136.8,3
2025 / 01,Brooklyn,16,18.2,0,3
2025 / 01,Brooklyn,17,65.4,45.4,3
2025 / 01,Brooklyn,18,90.9,0,3
2025 / 01,Manhattan,1,27.8,0,1
2025 / 01,Manhattan,2,47.7,23.1,1
2025 / 01,Manhattan,3,26,49.2,1
2025 / 01,Manhattan,4,64.8,0,1
2025 / 01,Manhattan,5,18.1,0,1
2025 / 01,Manhattan,6,46.9,0,1
2025 / 01,Manhattan,7,185.2,41.4,1
2025 / 01,Manhattan,8,102.8,0,1
2025 / 01,Manhattan,9,27,81.7,1
2025 / 01,Manhattan,10,27.5,0,1
2025 / 01,Manhattan,11,25.7,56.5,1
2025 / 01,Manhattan,12,39.1,49.5,1
2025 / 01,Queens,1,90.2,214,4
2025 / 01,Queens,2,51.4,208.5,4
2025 / 01,Queens,3,50.3,0,4
2025 / 01,Queens,4,26.7,0,4
2025 / 01,Queens,5,76.3,112.9,4
2025 / 01,Queens,6,57.1,0,4
2025 / 01,Queens,7,54.3,148.4,4
2025 / 01,Queens,8,70.7,0,4
2025 / 01,Queens,9,68.6,107,4
2025 / 01,Queens,10,31,80.6,4
2025 / 01,Queens,11,63.5,92,4
2025 / 01,Queens,12,119.2,82.4,4
2025 / 01,Queens,13,60.4,60.2,4
2025 / 01,Queens,14,44.2,0,4
2025 / 01,Staten Island,1,170.6,0,5
2025 / 01,Staten Island,2,148.2,34.3,5
2025 / 01,Staten Island,3,169.4,34.8,5
2024 / 12,Bronx,1,23.5,76.5,2
2024 / 12,Bronx,2,2.1,0,2
2024 / 12,Bronx,3,8.5,77.7,2
2024 / 12,Bronx,4,11,51.8,2
2024 / 12,Bronx,5,10.5,60.8,2
2024 / 12,Bronx,6,5.2,40.1,2
2024 / 12,Bronx,7,8.5,30.6,2
2024 / 12,Bronx,8,78.3,0,2
2024 / 12,Bronx,9,59.3,0,2
2024 / 12,Bronx,10,80.1,45.9,2
2024 / 12,Bronx,11,66.6,67.9,2
2024 / 12,Bronx,12,111.9,0,2
2024 / 12,Brooklyn,1,53.3,38.9,3
2024 / 12,Brooklyn,2,123.6,39.7,3
2024 / 12,Brooklyn,3,151,59.8,3
2024 / 12,Brooklyn,4,67.5,60.9,3
2024 / 12,Brooklyn,5,53.2,0,3
2024 / 12,Brooklyn,6,109.8,70.9,3
2024 / 12,Brooklyn,7,74,79,3
2024 / 12,Brooklyn,8,65.2,46.6,3
2024 / 12,Brooklyn,9,43.2,0,3
2024 / 12,Brooklyn,10,53.9,116.1,3
2024 / 12,Brooklyn,11,48.7,4.6,3
2024 / 12,Brooklyn,12,64.3,0,3
2024 / 12,Brooklyn,13,28.4,94.5,3
2024 / 12,Brooklyn,14,111.7,0,3
2024 / 12,Brooklyn,15,76.3,118,3
2024 / 12,Brooklyn,16,28.3,0,3
2024 / 12,Brooklyn,17,93.4,38.8,3
2024 / 12,Brooklyn,18,134.2,0,3
2024 / 12,Manhattan,1,8.6,0,1
2024 / 12,Manhattan,2,19.8,20.2,1
2024 / 12,Manhattan,3,28.9,40.4,1
2024 / 12,Manhattan,4,30.6,0,1
2024 / 12,Manhattan,5,7.5,0,1
2024 / 12,Manhattan,6,22.7,0,1
2024 / 12,Manhattan,7,129,34.4,1
2024 / 12,Manhattan,8,34.6,0,1
2024 / 12,Manhattan,9,24.9,72.9,1
2024 / 12,Manhattan,10,24.2,0,1
2024 / 12,Manhattan,11,29.3,54.1,1
2024 / 12,Manhattan,12,32.3,39.3,1
2024 / 12,Queens,1,97.5,183.2,4
2024 / 12,Queens,2,51,165.3,4
2024 / 12,Queens,3,55.1,0,4
2024 / 12,Queens,4,31.7,0,4
2024 / 12,Queens,5,100.2,84.1,4
2024 / 12,Queens,6,97.7,0,4
2024 / 12,Queens,7,105.2,114.7,4
2024 / 12,Queens,8,130.9,0,4
2024 / 12,Queens,9,115.5,93.7,4
2024 / 12,Queens,10,42.3,66.2,4
2024 / 12,Queens,11,123.4,75,4
2024 / 12,Queens,12,264.9,79,4
2024 / 12,Queens,13,90.2,50,4
2024 / 12,Queens,14,45.1,0,4
2024 / 12,Staten Island,1,309,0,5
2024 / 12,Staten Island,2,264,25.2,5
2024 / 12,Staten Island,3,303.3,28.9,5
2024 / 11,Bronx,1,27.7,83.2,2
2024 / 11,Bronx,2,4.8,0,2
2024 / 11,Bronx,3,11.7,88.4,2
2024 / 11,Bronx,4,10.9,55.1,2
2024 / 11,Bronx,5,11.5,67.8,2
2024 / 11,Bronx,6,5.1,39.5,2
2024 / 11,Bronx,7,10.6,43.8,2
2024 / 11,Bronx,8,93.8,0,2
2024 / 11,Bronx,9,83.7,0,2
2024 / 11,Bronx,10,106.6,49.4,2
2024 / 11,Bronx,11,129.2,78,2
2024 / 11,Bronx,12,211.5,0,2
2024 / 11,Brooklyn,1,67.1,37.1,3
2024 / 11,Brooklyn,2,136.1,46,3
2024 / 11,Brooklyn,3,195.1,59.7,3
2024 / 11,Brooklyn,4,47.3,70,3
2024 / 11,Brooklyn,5,68.1,0,3
2024 / 11,Brooklyn,6,138.8,72.7,3
2024 / 11,Brooklyn,7,80,83.9,3
2024 / 11,Brooklyn,8,64,50.6,3
2024 / 11,Brooklyn,9,76.6,0,3
2024 / 11,Brooklyn,10,75.9,115.6,3
2024 / 11,Brooklyn,11,76.1,0,3
2024 / 11,Brooklyn,12,78.5,0,3
2024 / 11,Brooklyn,13,42.6,101.5,3
2024 / 11,Brooklyn,14,131.9,0,3
2024 / 11,Brooklyn,15,129.6,124.4,3
2024 / 11,Brooklyn,16,60.7,0,3
2024 / 11,Brooklyn,17,151.3,40.2,3
2024 / 11,Brooklyn,18,245.2,0,3
2024 / 11,Manhattan,1,7.8,0,1
2024 / 11,Manhattan,2,11.5,22.7,1
2024 / 11,Manhattan,3,38.2,43.2,1
2024 / 11,Manhattan,4,38,0,1
2024 / 11,Manhattan,5,5.3,0,1
2024 / 11,Manhattan,6,21.9,0,1
2024 / 11,Manhattan,7,109.6,39.8,1
2024 / 11,Manhattan,8,30.3,0,1
2024 / 11,Manhattan,9,24.6,72.8,1
2024 / 11,Manhattan,10,22.4,0,1
2024 / 11,Manhattan,11,44.8,67,1
2024 / 11,Manhattan,12,29,38.4,1
2024 / 11,Queens,1,129.9,185.6,4
2024 / 11,Queens,2,62.5,179.2,4
2024 / 11,Queens,3,70.6,0,4
2024 / 11,Queens,4,41.1,0,4
2024 / 11,Queens,5,154,104.9,4
2024 / 11,Queens,6,151.4,0,4
2024 / 11,Queens,7,193.7,114.8,4
2024 / 11,Queens,8,177.1,0,4
2024 / 11,Queens,9,179.2,100.3,4
2024 / 11,Queens,10,68.6,66.4,4
2024 / 11,Queens,11,233.8,85,4
2024 / 11,Queens,12,454.8,84.4,4
2024 / 11,Queens,13,158,59.3,4
2024 / 11,Queens,14,71.7,0,4
2024 / 11,Staten Island,1,477.2,0,5
2024 / 11,Staten Island,2,375,25.4,5
2024 / 11,Staten Island,3,482,31.5,5
2024 / 10,Bronx,1,4.5,92.4,2
2024 / 10,Bronx,2,1.3,0,2
2024 / 10,Bronx,3,7.5,117.8,2
2024 / 10,Bronx,4,3.7,76.1,2
2024 / 10,Bronx,5,7.4,86.3,2
2024 / 10,Bronx,6,6.6,49.5,2
2024 / 10,Bronx,7,5.9,46.1,2
2024 / 10,Bronx,8,60.9,0,2
2024 / 10,Bronx,9,28,0,2
2024 / 10,Bronx,10,54.8,64.2,2
2024 / 10,Bronx,11,41.1,98.5,2
2024 / 10,Bronx,12,86.9,0,2
2024 / 10,Brooklyn,1,51,52.1,3
2024 / 10,Brooklyn,2,87.9,60.2,3
2024 / 10,Brooklyn,3,104.3,76.4,3
2024 / 10,Brooklyn,4,54.4,93.8,3
2024 / 10,Brooklyn,5,32,0,3
2024 / 10,Brooklyn,6,89.9,88.5,3
2024 / 10,Brooklyn,7,52.5,106.8,3
2024 / 10,Brooklyn,8,57.4,66.7,3
2024 / 10,Brooklyn,9,42.7,0,3
2024 / 10,Brooklyn,10,47.7,139.9,3
2024 / 10,Brooklyn,11,38,0,3
2024 / 10,Brooklyn,12,42.1,0,3
2024 / 10,Brooklyn,13,18,111.3,3
2024 / 10,Brooklyn,14,76.1,0,3
2024 / 10,Brooklyn,15,64.8,143.5,3
2024 / 10,Brooklyn,16,22.6,0,3
2024 / 10,Brooklyn,17,80.7,48.3,3
2024 / 10,Brooklyn,18,126.5,0,3
2024 / 10,Manhattan,1,3,0,1
2024 / 10,Manhattan,2,6.4,34.8,1
2024 / 10,Manhattan,3,11.3,52.9,1
2024 / 10,Manhattan,4,13.2,0,1
2024 / 10,Manhattan,5,2.5,0,1
2024 / 10,Manhattan,6,14.7,0,1
2024 / 10,Manhattan,7,77.2,51.9,1
2024 / 10,Manhattan,8,10.5,0,1
2024 / 10,Manhattan,9,7.8,99.2,1
2024 / 10,Manhattan,10,7.3,0,1
2024 / 10,Manhattan,11,9.1,79.3,1
2024 / 10,Manhattan,12,13.1,55.8,1
2024 / 10,Queens,1,91.4,231.7,4
2024 / 10,Queens,2,43.3,224.6,4
2024 / 10,Queens,3,45.1,0,4
2024 / 10,Queens,4,34.2,0,4
2024 / 10,Queens,5,103.8,126.4,4
2024 / 10,Queens,6,89.9,0,4
2024 / 10,Queens,7,109.6,152.4,4
2024 / 10,Queens,8,93.5,0,4
2024 / 10,Queens,9,119.1,130.2,4
2024 / 10,Queens,10,42.7,95.7,4
2024 / 10,Queens,11,115.1,105.7,4
2024 / 10,Queens,12,288.1,117.7,4
2024 / 10,Queens,13,90.3,75,4
2024 / 10,Queens,14,61.3,0,4
2024 / 10,Staten Island,1,216.6,0,5
2024 / 10,Staten Island,2,171.2,30.3,5
2024 / 10,Staten Island,3,230.8,40.2,5
2024 / 09,Bronx,1,0,77.1,2
2024 / 09,Bronx,2,0,0,2
2024 / 09,Bronx,3,0,93.8,2
2024 / 09,Bronx,4,0,75.1,2
2024 / 09,Bronx,5,0,68,2
2024 / 09,Bronx,6,0,43.1,2
2024 / 09,Bronx,7,0,39.1,2
2024 / 09,Bronx,8,33.9,0,2
2024 / 09,Bronx,9,0,0,2
2024 / 09,Bronx,10,0,59.9,2
2024 / 09,Bronx,11,0,79.1,2
2024 / 09,Bronx,12,0,0,2
2024 / 09,Brooklyn,1,33,42,3
2024 / 09,Brooklyn,2,69.8,47.8,3
2024 / 09,Brooklyn,3,69.8,63.2,3
2024 / 09,Brooklyn,4,40.5,70.6,3
2024 / 09,Brooklyn,5,21.1,0,3
2024 / 09,Brooklyn,6,77.7,71.2,3
2024 / 09,Brooklyn,7,43.6,80.9,3
2024 / 09,Brooklyn,8,36.8,55.2,3
2024 / 09,Brooklyn,9,31.6,0,3
2024 / 09,Brooklyn,10,32.5,120.3,3
2024 / 09,Brooklyn,11,19.6,0,3
2024 / 09,Brooklyn,12,26.4,0,3
2024 / 09,Brooklyn,13,10.9,102.2,3
2024 / 09,Brooklyn,14,45.4,0,3
2024 / 09,Brooklyn,15,29.5,127.3,3
2024 / 09,Brooklyn,16,12.1,0,3
2024 / 09,Brooklyn,17,48.4,37.1,3
2024 / 09,Brooklyn,18,75.8,0,3
2024 / 09,Manhattan,1,0,0,1
2024 / 09,Manhattan,2,0,31.1,1
2024 / 09,Manhattan,3,0,53.2,1
2024 / 09,Manhattan,4,0,0,1
2024 / 09,Manhattan,5,0,0,1
2024 / 09,Manhattan,6,8.5,0,1
2024 / 09,Manhattan,7,54.7,47.4,1
2024 / 09,Manhattan,8,0,0,1
2024 / 09,Manhattan,9,0,86,1
2024 / 09,Manhattan,10,0,0,1
2024 / 09,Manhattan,11,0,66.4,1
2024 / 09,Manhattan,12,0,52.1,1
2024 / 09,Queens,1,56.9,191.3,4
2024 / 09,Queens,2,29.1,196.7,4
2024 / 09,Queens,3,33.7,0,4
2024 / 09,Queens,4,25.3,0,4
2024 / 09,Queens,5,62,113.8,4
2024 / 09,Queens,6,55.4,0,4
2024 / 09,Queens,7,74.1,141.5,4
2024 / 09,Queens,8,53.8,0,4
2024 / 09,Queens,9,71.7,112.2,4
2024 / 09,Queens,10,29.2,73,4
2024 / 09,Queens,11,61.7,79.7,4
2024 / 09,Queens,12,207,95,4
2024 / 09,Queens,13,56.4,54.6,4
2024 / 09,Queens,14,54.7,0,4
2024 / 09,Staten Island,1,0,0,5
2024 / 09,Staten Island,2,0,21.9,5
2024 / 09,Staten Island,3,0,33.8,5
2024 / 08,Bronx,1,0,11.6,2
2024 / 08,Bronx,2,0,0,2
2024 / 08,Bronx,3,0,17.9,2
2024 / 08,Bronx,4,0,0,2
2024 / 08,Bronx,5,0,0,2
2024 / 08,Bronx,6,0,9.8,2
2024 / 08,Bronx,7,0,16.4,2
2024 / 08,Bronx,8,45.2,0,2
2024 / 08,Bronx,9,0,0,2
2024 / 08,Bronx,10,0,0,2
2024 / 08,Bronx,11,0,17.6,2
2024 / 08,Bronx,12,0,0,2
2024 / 08,Brooklyn,1,38.3,10.8,3
2024 / 08,Brooklyn,2,72.6,0,3
2024 / 08,Brooklyn,3,66,0,3
2024 / 08,Brooklyn,4,47.6,26.1,3
2024 / 08,Brooklyn,5,23.8,0,3
2024 / 08,Brooklyn,6,75.9,0,3
2024 / 08,Brooklyn,7,42,0,3
2024 / 08,Brooklyn,8,45.2,0,3
2024 / 08,Brooklyn,9,35.7,0,3
2024 / 08,Brooklyn,10,36.5,0,3
2024 / 08,Brooklyn,11,22.8,43.1,3
2024 / 08,Brooklyn,12,26.5,16.6,3
2024 / 08,Brooklyn,13,13.4,0,3
2024 / 08,Brooklyn,14,54.1,23.7,3
2024 / 08,Brooklyn,15,35.6,0,3
2024 / 08,Brooklyn,16,17.4,0,3
2024 / 08,Brooklyn,17,61.2,10.3,3
2024 / 08,Brooklyn,18,96.1,0,3
2024 / 08,Manhattan,1,0,0,1
2024 / 08,Manhattan,2,0,0,1
2024 / 08,Manhattan,3,0,17,1
2024 / 08,Manhattan,4,0,20.8,1
2024 / 08,Manhattan,5,0,0,1
2024 / 08,Manhattan,6,9.5,0,1
2024 / 08,Manhattan,7,54.4,21.9,1
2024 / 08,Manhattan,8,0,0,1
2024 / 08,Manhattan,9,0,16.1,1
2024 / 08,Manhattan,10,0,0,1
2024 / 08,Manhattan,11,0,19.4,1
2024 / 08,Manhattan,12,0,0,1
2024 / 08,Queens,1,87.2,38.7,4
2024 / 08,Queens,2,35.7,0,4
2024 / 08,Queens,3,41.9,0,4
2024 / 08,Queens,4,30.8,0,4
2024 / 08,Queens,5,69,56,4
2024 / 08,Queens,6,63.5,0,4
2024 / 08,Queens,7,65.6,47.9,4
2024 / 08,Queens,8,75,0,4
2024 / 08,Queens,9,89.9,0,4
2024 / 08,Queens,10,31.6,21.2,4
2024 / 08,Queens,11,73,0,4
2024 / 08,Queens,12,291.4,0,4
2024 / 08,Queens,13,71,16.5,4
2024 / 08,Queens,14,70.8,0,4
2024 / 08,Staten Island,1,0,0.1,5
2024 / 08,Staten Island,2,0,0,5
2024 / 08,Staten Island,3,0,17.1,5
2024 / 07,Bronx,1,0,30.7,2
2024 / 07,Bronx,2,0,0,2
2024 / 07,Bronx,3,0,39.3,2
2024 / 07,Bronx,4,0,0,2
2024 / 07,Bronx,5,0,0,2
2024 / 07,Bronx,6,0,24,2
2024 / 07,Bronx,7,0,33.1,2
2024 / 07,Bronx,8,38.6,0,2
2024 / 07,Bronx,9,0,0,2
2024 / 07,Bronx,10,0,0,2
2024 / 07,Bronx,11,0,36.5,2
2024 / 07,Bronx,12,0,0,2
2024 / 07,Brooklyn,1,35.6,24.3,3
2024 / 07,Brooklyn,2,76.1,0,3
2024 / 07,Brooklyn,3,77.2,0,3
2024 / 07,Brooklyn,4,44.3,52.9,3
2024 / 07,Brooklyn,5,24.6,0,3
2024 / 07,Brooklyn,6,82.6,0,3
2024 / 07,Brooklyn,7,49.9,0,3
2024 / 07,Brooklyn,8,49.9,0,3
2024 / 07,Brooklyn,9,32.8,0,3
2024 / 07,Brooklyn,10,34,0,3
2024 / 07,Brooklyn,11,19.1,87.4,3
2024 / 07,Brooklyn,12,24.9,38.2,3
2024 / 07,Brooklyn,13,10.1,0,3
2024 / 07,Brooklyn,14,51.9,51.2,3
2024 / 07,Brooklyn,15,38.1,0,3
2024 / 07,Brooklyn,16,12.8,0,3
2024 / 07,Brooklyn,17,68.9,25.4,3
2024 / 07,Brooklyn,18,86.4,0,3
2024 / 07,Manhattan,1,0,0,1
2024 / 07,Manhattan,2,0,0,1
2024 / 07,Manhattan,3,0,33.6,1
2024 / 07,Manhattan,4,0,25.6,1
2024 / 07,Manhattan,5,0,0,1
2024 / 07,Manhattan,6,11.3,0,1
2024 / 07,Manhattan,7,58.3,47,1
2024 / 07,Manhattan,8,0,0,1
2024 / 07,Manhattan,9,0,26.9,1
2024 / 07,Manhattan,10,0,0,1
2024 / 07,Manhattan,11,0,45.6,1
2024 / 07,Manhattan,12,0,0,1
2024 / 07,Queens,1,94.3,77.5,4
2024 / 07,Queens,2,32.7,0,4
2024 / 07,Queens,3,35,0,4
2024 / 07,Queens,4,28.1,0,4
2024 / 07,Queens,5,78.6,109.5,4
2024 / 07,Queens,6,52.7,0,4
2024 / 07,Queens,7,70.6,89.9,4
2024 / 07,Queens,8,73.1,0,4
2024 / 07,Queens,9,86,0,4
2024 / 07,Queens,10,35.6,40,4
2024 / 07,Queens,11,71.2,0,4
2024 / 07,Queens,12,249.5,0,4
2024 / 07,Queens,13,93.4,36.7,4
2024 / 07,Queens,14,60.7,0,4
2024 / 07,Staten Island,1,0,0,5
2024 / 07,Staten Island,2,0,0,5
2024 / 07,Staten Island,3,0,34.3,5
2024 / 06,Bronx,1,0,0,2
2024 / 06,Bronx,2,0,57.8,2
2024 / 06,Bronx,3,0,61.6,2
2024 / 06,Bronx,4,0,51.6,2
2024 / 06,Bronx,5,0,44.1,2
2024 / 06,Bronx,6,0,35.2,2
2024 / 06,Bronx,7,0,0,2
2024 / 06,Bronx,8,42.3,27.2,2
2024 / 06,Bronx,9,0,42,2
2024 / 06,Bronx,10,0,0,2
2024 / 06,Bronx,11,0,0,2
2024 / 06,Bronx,12,0,45.5,2
2024 / 06,Brooklyn,1,41,33.9,3
2024 / 06,Brooklyn,2,86,33.8,3
2024 / 06,Brooklyn,3,80.9,42,3
2024 / 06,Brooklyn,4,48.6,0,3
2024 / 06,Brooklyn,5,27.2,106.6,3
2024 / 06,Brooklyn,6,106.8,61.5,3
2024 / 06,Brooklyn,7,58.1,0,3
2024 / 06,Brooklyn,8,52.7,36,3
2024 / 06,Brooklyn,9,38.3,0,3
2024 / 06,Brooklyn,10,38.3,0,3
2024 / 06,Brooklyn,11,22.4,132.2,3
2024 / 06,Brooklyn,12,29.4,59.3,3
2024 / 06,Brooklyn,13,8.6,0,3
2024 / 06,Brooklyn,14,54.4,72.5,3
2024 / 06,Brooklyn,15,39.1,0,3
2024 / 06,Brooklyn,16,12.4,27.3,3
2024 / 06,Brooklyn,17,68.6,0,3
2024 / 06,Brooklyn,18,101.4,148.2,3
2024 / 06,Manhattan,1,0,0,1
2024 / 06,Manhattan,2,0,25,1
2024 / 06,Manhattan,3,0,37.9,1
2024 / 06,Manhattan,4,0,0,1
2024 / 06,Manhattan,5,0,0,1
2024 / 06,Manhattan,6,7.3,0,1
2024 / 06,Manhattan,7,60.5,39.9,1
2024 / 06,Manhattan,8,0,0,1
2024 / 06,Manhattan,9,0,72.9,1
2024 / 06,Manhattan,10,0,38.3,1
2024 / 06,Manhattan,11,0,0,1
2024 / 06,Manhattan,12,0,39.2,1
2024 / 06,Queens,1,84.4,178.1,4
2024 / 06,Queens,2,37.5,160.6,4
2024 / 06,Queens,3,37.5,0,4
2024 / 06,Queens,4,28.9,0,4
2024 / 06,Queens,5,73,107.9,4
2024 / 06,Queens,6,63,0,4
2024 / 06,Queens,7,77.6,139.9,4
2024 / 06,Queens,8,65.8,5.3,4
2024 / 06,Queens,9,98.7,90.7,4
2024 / 06,Queens,10,31.7,55.7,4
2024 / 06,Queens,11,79.5,58.1,4
2024 / 06,Queens,12,289.3,84.5,4
2024 / 06,Queens,13,85.5,42.2,4
2024 / 06,Queens,14,68,0,4
2024 / 06,Staten Island,1,0,0,5
2024 / 06,Staten Island,2,0,17,5
2024 / 06,Staten Island,3,0,24,5
2024 / 05,Bronx,1,0,0,2
2024 / 05,Bronx,2,0,107,2
2024 / 05,Bronx,3,0,107.4,2
2024 / 05,Bronx,4,0,100,2
2024 / 05,Bronx,5,0,85.2,2
2024 / 05,Bronx,6,0,56.8,2
2024 / 05,Bronx,7,0,0,2
2024 / 05,Bronx,8,51.7,48.1,2
2024 / 05,Bronx,9,0,74.6,2
2024 / 05,Bronx,10,0,0,2
2024 / 05,Bronx,11,0,0,2
2024 / 05,Bronx,12,0,90.6,2
2024 / 05,Brooklyn,1,45.4,51.3,3
2024 / 05,Brooklyn,2,95.5,45,3
2024 / 05,Brooklyn,3,82.8,76.1,3
2024 / 05,Brooklyn,4,52.3,0,3
2024 / 05,Brooklyn,5,27.3,162.9,3
2024 / 05,Brooklyn,6,114.5,89,3
2024 / 05,Brooklyn,7,67,0,3
2024 / 05,Brooklyn,8,42.1,67.5,3
2024 / 05,Brooklyn,9,41.2,0,3
2024 / 05,Brooklyn,10,41.7,0,3
2024 / 05,Brooklyn,11,24.4,188.3,3
2024 / 05,Brooklyn,12,31.1,118.3,3
2024 / 05,Brooklyn,13,11.6,0,3
2024 / 05,Brooklyn,14,54.7,124.2,3
2024 / 05,Brooklyn,15,49.1,0,3
2024 / 05,Brooklyn,16,13.8,43.6,3
2024 / 05,Brooklyn,17,63.2,0,3
2024 / 05,Brooklyn,18,92.5,198.4,3
2024 / 05,Manhattan,1,0,0,1
2024 / 05,Manhattan,2,0,41.4,1
2024 / 05,Manhattan,3,0,59.6,1
2024 / 05,Manhattan,4,0,0,1
2024 / 05,Manhattan,5,0,0,1
2024 / 05,Manhattan,6,9.5,0,1
2024 / 05,Manhattan,7,71.7,58.6,1
2024 / 05,Manhattan,8,0,0,1
2024 / 05,Manhattan,9,0,104.7,1
2024 / 05,Manhattan,10,0,68.7,1
2024 / 05,Manhattan,11,0,0,1
2024 / 05,Manhattan,12,0,64.4,1
2024 / 05,Queens,1,85.7,265.7,4
2024 / 05,Queens,2,39.8,239.2,4
2024 / 05,Queens,3,41.4,0,4
2024 / 05,Queens,4,29.1,0,4
2024 / 05,Queens,5,89.4,137.2,4
2024 / 05,Queens,6,70.3,0,4
2024 / 05,Queens,7,101.7,199.9,4
2024 / 05,Queens,8,96.5,5.4,4
2024 / 05,Queens,9,96.8,137.7,4
2024 / 05,Queens,10,43.1,92.6,4
2024 / 05,Queens,11,100.1,91,4
2024 / 05,Queens,12,341.8,121.2,4
2024 / 05,Queens,13,91.9,65.3,4
2024 / 05,Queens,14,75.9,0,4
2024 / 05,Staten Island,1,0,0,5
2024 / 05,Staten Island,2,0,24.8,5
2024 / 05,Staten Island,3,0,41.5,5
2024 / 04,Bronx,1,0,0,2
2024 / 04,Bronx,2,0,60.7,2
2024 / 04,Bronx,3,0,67.6,2
2024 / 04,Bronx,4,0,56.9,2
2024 / 04,Bronx,5,0,49.8,2
2024 / 04,Bronx,6,0,35.5,2
2024 / 04,Bronx,7,0,0,2
2024 / 04,Bronx,8,43.8,29.1,2
2024 / 04,Bronx,9,0,42.7,2
2024 / 04,Bronx,10,0,0,2
2024 / 04,Bronx,11,0,0,2
2024 / 04,Bronx,12,0,52,2
2024 / 04,Brooklyn,1,38.3,35.1,3
2024 / 04,Brooklyn,2,79.9,29.3,3
2024 / 04,Brooklyn,3,78.6,48,3
2024 / 04,Brooklyn,4,46.4,0,3
2024 / 04,Brooklyn,5,22.7,96.3,3
2024 / 04,Brooklyn,6,97.6,54.4,3
2024 / 04,Brooklyn,7,61.6,0,3
2024 / 04,Brooklyn,8,39.9,45.3,3
2024 / 04,Brooklyn,9,31.2,0,3
2024 / 04,Brooklyn,10,37.1,0,3
2024 / 04,Brooklyn,11,21.3,91.5,3
2024 / 04,Brooklyn,12,25.9,79.1,3
2024 / 04,Brooklyn,13,8.6,0,3
2024 / 04,Brooklyn,14,44,77,3
