Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
482599,236324,0,2/3/26,NYCT Subway,delays,,R trains are delayed in both directions due to an NYPD investigation at 59 St.,"Planned Work Reminder:
No late night R between Whitehall St-South Ferry and 59 St, Brooklyn
Feb 2 - 6, Mon to Fri, 11:15 PM to 5:00 AM
R runs in Brooklyn between Bay Ridge-95 St and 59 St, the last stop.

For Whitehall St-South Ferry, Court St and Jay St-MetroTech, take a Coney Island-bound Q * instead."
482601,236324,1,2/3/26,NYCT Subway,delays,,R trains are delayed in both directions due to an NYPD investigation at 59 St.,"Boarding Change:

R trains will arrive and depart on the uptown track at 59 St
.
Planned Work Reminder:
No late night R between Whitehall St-South Ferry and 59 St, Brooklyn
Feb 2 - 6, Mon to Fri, 11:15 PM to 5:00 AM
R runs in Brooklyn between Bay Ridge-95 St and 59 St, the last stop.

For Whitehall St-South Ferry, Court St and Jay St-MetroTech, take a Coney Island-bound Q * instead."
482603,236324,2,2/3/26,NYCT Subway,delays,R,R trains are running with delays in both directions after NYPD responded to a person being disruptive on a train at 59 St.,"Planned Work Reminder:
No late night R between Whitehall St-South Ferry and 59 St, Brooklyn
Feb 2 - 6, Mon to Fri, 11:15 PM to 5:00 AM
R runs in Brooklyn between Bay Ridge-95 St and 59 St, the last stop.

For Whitehall St-South Ferry, Court St and Jay St-MetroTech, take a Coney Island-bound Q * instead."
482582,236315,2,2/3/26,NYCT Subway,delays,D | N | R,Uptown D/N/R trains are running with delays after we moved a train that had its brakes activated near 36 St.,Uptown D/N/R trains have resumed running on the local track from 36 St to Atlantic Av-Barclays Ctr.
482563,236306,3,2/3/26,NYCT Subway,express-to-local | delays,E | F | R,Downtown E/F trains are running local from Forest Hills-71 Av to Queens Plaza after we moved a train that had its brakes activated at Roosevelt Ave.,Expect delays on downtown R trains while tracks are shared.
482483,236288,1,2/2/26,NYCT Subway,delays,R,Uptown R trains are running with delays after we moved a train that had its brakes activated at 25 St.,Uptown R trains have resumed regular service from 36 St to Atlantic Av-Barclays Ctr.
482361,236264,1,2/2/26,NYCT Subway,stops-skipped,M | R,"Forest Hills-71 Av-bound 
M trains are running express Queensbridge to Roosevelt Ave .
R trains are running express from Queens Plaza to Roosevelt Ave.","What's happening?
 We are investigating what caused a train's brakes to activate at 46 St.
Expect delays on Jamaica-bound E/F trains while tracks are shared."
482371,236264,2,2/2/26,NYCT Subway,stops-skipped | delays,E | F | M | R,"Forest Hills-71 Av-bound 
M trains are running express Queensbridge to Roosevelt Ave .
R trains are running express from Queens Plaza to Roosevelt Ave.","What's happening?
We are investigating what caused a train's brakes to activate at 46 St.
Expect delays on Jamaica-bound E/F trains while tracks are shared."
482372,236264,3,2/2/26,NYCT Subway,stops-skipped | delays,E | F | M | R,"Forest Hills-71 Av-bound 
M trains are running express Queensbridge to Roosevelt Ave .
R trains are running express from Queens Plaza to Roosevelt Ave.","What's happening?
We are investigating what caused a train's brakes to activate at 46 St.
Expect delays on Jamaica-bound E/F trains while tracks are shared.
For service to/from bypassed stops, take a downtown train."
482377,236264,4,2/2/26,NYCT Subway,stops-skipped | delays,E | F | M | R,"Forest Hills-71 Av- bound
M trains are running express Queensbridge to Roosevelt Ave .
R trains are running express Queens Plaza to Roosevelt Ave.","What's happening?
We are investigating what caused a train's brakes to activate at 46 St
.
Expect delays on Jamaica-bound E/F trains while tracks are shared.
Expect delays on M/R trains in both directions.
For service to/from bypassed stops, take a downtown train."
